Model	Date	Time	WxFile	Long	Lat	JdStart	JdEnd	Month	Day	Year	dd	bales	TempIncr	PbwEggt	PbwLrDys	PbwAdDys	PbwL/Bol	FromDiap	ToDiap	PbwCldLx	Tddb10
CotsimGIS	26Jul13	6:38:32-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0027.txt	75.0000	34.1870	0	310	11	6	Avg	101.7705	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2178.6433	
CotsimGIS	26Jul13	6:38:33-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0028.txt	75.3120	34.1870	0	310	11	6	Avg	32.4590	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3574.1889	
CotsimGIS	26Jul13	6:38:34-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0029.txt	75.6250	34.1870	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4768.0655	
CotsimGIS	26Jul13	6:38:35-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0030.txt	75.9370	34.1870	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5426.6633	
CotsimGIS	26Jul13	6:38:36-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0031.txt	76.2500	34.1870	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5588.6609	
CotsimGIS	26Jul13	6:38:37-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0032.txt	76.5620	34.1870	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5494.1462	
CotsimGIS	26Jul13	6:38:39-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0033.txt	76.8750	34.1870	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5363.2574	
CotsimGIS	26Jul13	6:38:40-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0034.txt	77.1870	34.1870	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5316.9230	
CotsimGIS	26Jul13	6:38:40-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0035.txt	77.5000	34.1870	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5480.8090	
CotsimGIS	26Jul13	6:38:41-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0036.txt	77.8120	34.1870	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6148.6679	
CotsimGIS	26Jul13	6:38:42-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0037.txt	78.1250	34.1870	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6897.5717	
CotsimGIS	26Jul13	6:38:43-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0038.txt	78.4370	34.1870	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7522.0125	
CotsimGIS	26Jul13	6:38:44-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0039.txt	78.7500	34.1870	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7828.5460	
CotsimGIS	26Jul13	6:38:45-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0040.txt	74.3750	33.8750	277	365	12	31	Avg	813.0667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1441.9652	
CotsimGIS	26Jul13	6:38:46-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0041.txt	74.6870	33.8750	275	365	12	31	Avg	512.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1605.9330	
CotsimGIS	26Jul13	6:38:46-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0042.txt	75.0000	33.8750	215	310	11	6	Avg	360.6230	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1668.9489	
CotsimGIS	26Jul13	6:38:47-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0043.txt	75.3120	33.8750	209	310	11	6	Avg	129.9672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2405.7338	
CotsimGIS	26Jul13	6:38:48-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0044.txt	75.6250	33.8750	0	310	11	6	Avg	1.8033	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4012.6277	
CotsimGIS	26Jul13	6:38:49-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0045.txt	75.9370	33.8750	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5220.3340	
CotsimGIS	26Jul13	6:38:50-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0046.txt	76.2500	33.8750	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5918.7936	
CotsimGIS	26Jul13	6:38:50-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0047.txt	76.5620	33.8750	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6015.5035	
