Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	04mar10	11.44.22	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_88.txt	23.2536	44.6036	1	730	12	31	Avg	1865.49268292683	132.873170731707	0.314634146341463	0.378048780487805	166	4	1001.84878048780	243.8	348.204878048780	0	2.31609756097561	16.6007317073171	27.4529024390244	15.6856097560976	0.404146341463415	0.315121951219512	7.31487804878049
OliveGIS	04mar10	11.44.25	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_89.txt	23.2942	44.8815	1	730	12	31	Avg	1589.75609756098	193.553658536585	0.0024390243902439	0.0048780487804878	175	3	1182.29024390244	208.409756097561	299.336585365854	0	0.0541463414634146	0.380731707317073	1.35609756097561	3.91560975609756	0.00951219512195122	0.00463414634146341	4.93048780487805
OliveGIS	04mar10	11.44.28	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_90.txt	23.3352	45.1594	1	730	12	31	Avg	1131.60487804878	341.817073170732	0	0	0	0	1554.16341463415	0	0	0	0	0	0	0	0	0	0
OliveGIS	04mar10	11.44.30	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_91.txt	23.3765	45.4372	1	730	12	31	Avg	837.751219512195	466.3	0	0	0	0	1838.1	0	0	0	0	0	0	0	0	0	0
OliveGIS	04mar10	11.44.33	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_92.txt	23.4183	45.7151	1	730	12	31	Avg	958.163414634146	384.492682926829	0	0	0	0	1653.22682926829	0	0	0	0	0	0	0	0	0	0
OliveGIS	04mar10	11.44.35	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_93.txt	23.4605	45.9929	1	730	12	31	Avg	1168.48048780488	291.612195121951	0	0	0	0	1452.72926829268	0	19.8926829268293	0	0	0	0	0	0	0	0
OliveGIS	04mar10	11.44.37	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_94.txt	23.5031	46.2707	1	730	12	31	Avg	1153.78292682927	289.153658536585	0	0	189	1	1448.43414634146	0	70.5292682926829	0	0	0	0	0	0	0	0
OliveGIS	04mar10	11.44.40	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_95.txt	23.5462	46.5485	1	730	12	31	Avg	1102.27560975610	300.778048780488	0	0	192	1	1462.68292682927	0	79.6414634146341	0	0	0	0	0	0	0	0
OliveGIS	04mar10	11.44.43	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_96.txt	23.5897	46.8262	1	730	12	31	Avg	1191.36341463415	269.621951219512	0	0	189	1	1388.24146341463	74.709756097561	92.370731707317	0	0.00097560975609756	0.00560975609756098	0.0236829268292683	0.641951219512195	0.00024390243902439	0	2.17804878048780
OliveGIS	04mar10	11.44.46	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_97.txt	23.6336	47.1039	1	730	12	31	Avg	1258.97560975610	252.307317073171	0	0	182	2	1346.16829268293	70.5512195121951	151.824390243902	0	0.0151219512195122	0.0829268292682927	0.409560975609756	1.04756097560976	0.00268292682926829	0.000731707317073171	2.10024390243902
OliveGIS	04mar10	11.44.49	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_100_98.txt	23.678	47.3816	1	730	12	31	Avg	1193.29268292683	277	0	0	184	1	1404.31707317073	70.5341463414634	107.539024390244	0	0.00097560975609756	0.00585365853658537	0.0223170731707317	0.62609756097561	0.00024390243902439	0	2.00073170731707
